Date ,Year,Name ,Caption ,URL 
16-Jan,2004,Lindsay-Shapley Ring Galaxy,"The striking blue ring of the Lindsay-Shapely Ring Galaxy (AM 0644-741) is comprised of brilliant star clusters. About 150,000 light-years across, the ring structure is larger than our galaxy, the Milky Way. ",https://hubblesite.org/contents/media/images/2004/15/1520-Image.html
17-Jan,2017,Supernova 1987A,"The remnant of Supernova 1987A, located in a neighboring galaxy called the Large Magellanic Cloud, appears at the center of this image. The red, gaseous clouds that surround it fuel a firestorm of new star formation. ",https://hubblesite.org/contents/media/images/2017/08/3987-Image.html
18-Jan,2004,Galaxy NGC 4163,"This swarm of stars is the dwarf galaxy NGC 4163, located 10 million light-years from Earth in the constellation Canes Venatici. Irregularly shaped red blobs are regions of active star formation.",https://hubblesite.org/contents/media/images/2009/19/2556-Image.html
19-Jan,2005,Whirlpool Galaxy ,"This image provides a close-up of some of the winding arms in the Whirlpool galaxy. Tracing the arms of the spiral galaxy are red-colored clouds of hydrogen gas, which are giving birth to new stars.",https://hubblesite.org/contents/media/images/2005/21/1731-Image.html
20-Jan,2005,Whirlpool Galaxy,"This image provides a close-up of some of the winding arms in the Whirlpool galaxy. Tracing the arms of the spiral galaxy are red-colored clouds of hydrogen gas, which are giving birth to new stars.",https://hubblesite.org/contents/media/images/2005/21/1731-Image.html
21-Jan,2000,Reflection Nebula NGC 1999,NGC 1999 is a reflection nebula. It does not emit any visible light of its own but shines only because the light from the star just to the left of the center illuminates the nebula's dust. ,https://hubblesite.org/contents/media/images/2000/10/952-Image.html
22-Jan,2005,Whirlpool Galaxy,"This image captures the winding arms of the Whirlpool galaxy. It highlights the galaxy's graceful, curving arms, pink star-forming regions and brilliant blue strands of star clusters.",https://hubblesite.org/contents/media/images/2011/03/2809-Image.html
23-Jan,2004,Asteroid Ceres,"The largerst known asteriod, Ceres, is approximately 590 miles across, about the size of Texas. It resides with tens of thousands of other asteroids in the main asteroid belt.",https://hubblesite.org/contents/media/images/2005/27/1763-Image.html
24-Jan,2015,Jupiter and Moons,"Three of Jupiter's moons cast their shadows on the planet. Callisto and Io are visible in the lower left and upper right, respectively, but Europa (whose shadow is on Jupiter's left edge) is out of the frame.",https://hubblesite.org/contents/media/images/2015/05/3488-Image.html
25-Jan,2000,Galaxy NGC 4013,A dark band of dust bisects the spiral galaxy NGC 4013. This edge-on galaxy is located 55 million light-years away in the constellation Ursa Major. ,https://hubblesite.org/contents/media/images/2001/07/1022-Image.html
26-Jan,2016,Comet 332P/Ikeya-Murakami,This image reveals the ancient comet 332P/Ikeya-Murakami disintegrating as it approaches the Sun. It is one of the sharpest views ever captured of an icy comet breaking apart.,https://hubblesite.org/contents/media/images/2016/35/3785-Image.html
27-Jan,2016,Comet 332P/Ikeya-Murakami,This image reveals the ancient comet 332P/Ikeya-Murakami disintegrating as it approaches the Sun. It is one of the sharpest views ever captured of an icy comet breaking apart.,https://hubblesite.org/contents/media/images/2016/35/3784-Image.html
28-Jan,2016,Comet Ikeya-Murakami,This image reveals the ancient comet 332P/Ikeya-Murakami disintegrating as it approached the Sun in 2016. The comet debris consists of building-size chunks near the center of the image. The main nucleus of the comet is the bright object at lower left. ,https://hubblesite.org/contents/media/images/2016/35/3784-Image.html
29-Jan,1999,Galaxy NGC 2787,Galaxy NGC 2787 is located 24 million light-years from Earth in the constellation Ursa Major. Arms of dark dust encircle the galaxy's bright center. The points of light scattered around the galaxy are huge collections of old stars known as globuar clusters. ,https://hubblesite.org/contents/media/images/2002/07/1164-Image.html
30-Jan,2010,Galaxy NGC 5584,"The brilliant, blue glow of young stars traces the graceful spiral arms of galaxy NGC 5584. Thin, dark dust lanes appear to be flowing from the yellowish core, where older stars reside.",https://hubblesite.org/contents/media/images/2011/08/2824-Image.html?news=true
31-Jan,1996,Starfield in the Large Magellanic Cloud,"Over 10,000 stars appear in this image, which covers a region about 130 light-years wide in a nearby galaxy called the Large Magellanic Cloud. The faintest stars in the picture are some 100 million times dimmer than the human eye can see. ",https://hubblesite.org/contents/media/images/1999/44/922-Image.html
1-Feb,2010,Carina Nebula Pillars,These cosmic pinnacles lie within a tempestuous stellar nursery called the Carina Nebula. Infant stars buried inside the pillars fire off jets of gas that stream away from the towering peaks.,https://hubblesite.org/contents/media/images/2010/13/2707-Image.html
2-Feb,2010,Carina Nebula Pillars,These cosmic pinnacles lie within a tempestuous stellar nursery called the Carina Nebula. Infant stars buried inside the pillars fire off jets of gas that stream away from the towering peaks.,https://hubblesite.org/contents/media/images/2010/13/2707-Image.html
3-Feb,1995,Bow Shock Around LL Orionis,"Named for the crescent-shaped wave made by a ship as it moves through water, a bow shock can be created in space when streams of gas collide. This image captures the bow shock around the  star LL Orionis.",https://hubblesite.org/contents/media/images/2002/05/1149-Image.html
4-Feb,2005,Galaxy Cluster MACS J0717.5+3745,Nearly every object in this image is a distant galaxy in the cluster MACS J0717.5+3745. Some faint arcs and streaks in the image are even farther galaxies whose light has been bent by the powerful gravity of the massive cluster. ,https://hubblesite.org/contents/media/images/2013/44/3251-Image.html
5-Feb,,Asteroid (6478) Gault,"Hubble viewed the gradual self-destruction of the asteroid (6478) Gault caused by the long-term effects of sunlight. Dusty material ejected from the asteroid formed two comet-like tails 500,000 and 3,000 miles long.",https://hubblesite.org/contents/media/images//22/4379-Image.html
6-Feb,2007,Planetary Nebula NGC 2440,"Planetary nebula NGC 2440 is a relic of a star once like our Sun that has cast off its outer layers of gas, forming a colorful cocoon around the star's remaining core.",https://hubblesite.org/contents/media/images/2007/09/2058-Image.html
7-Feb,1999,Thackeray's Globules,"These dense, dark dust clouds, named ""Thackeray's globules"" after astronomer A.D. Thackeray, are silhouetted against stars and bright gas clouds of the star-forming region IC 2944. The largest globule is actually two separate, overlapping clouds.",https://hubblesite.org/contents/media/images/2002/01/1127-Image.html
8-Feb,2014,Monkey Head Nebula,This image reveals carved knots of gas and dust in a small portion of the Monkey Head Nebula. The nebula is a star-forming region that hosts dusky dust clouds silhouetted against glowing gas.,https://hubblesite.org/contents/media/images/2014/18/3336-Image.html
9-Feb,2014,Monkey Head Nebula,This image reveals carved knots of gas and dust in a small portion of the Monkey Head Nebula. The nebula is a star-forming region that hosts dusky dust clouds silhouetted against glowing gas.,https://hubblesite.org/contents/media/images/2014/18/3336-Image.html
10-Feb,2005,Brown Dwarf Candidate CHXR 73 B,"The bright spot at lower right is a suspected brown dwarf, an object bigger than a planet but smaller than a star. Named CHXR 73 B, it orbits a red dwarf star dubbed CHXR 73, which is much less massive than the Sun.",https://hubblesite.org/contents/media/images/2006/31/1946-Image.html
11-Feb,2001,Thackeray's Globules,"These dense, dark dust clouds, named ""Thackeray's globules"" after astronomer A.D. Thackeray, are silhouetted against stars and bright gas clouds of the star-forming region IC 2944. The largest globule is actually two separate, overlapping clouds.",https://hubblesite.org/contents/media/images/2002/01/1127-Image.html
12-Feb,2018,Lagoon Nebula ,"This image zooms into the heart of a vast star-forming region called the Lagoon Nebula. A massive young star at the center of the image is blasting radiation and stellar winds, carving shapes into the surrounding gas and dust. ",https://hubblesite.org/contents/media/images/2018/21/4150-Image.html
13-Feb,2011,Nebula Sharpless 2-106,"This star-forming region, called Sharpless 2-106, looks like a celestial angel. The ""wings"" of the nebula are twin lobes of hot gas that stretch outward from a massive, young star near the center of the image.",https://hubblesite.org/contents/media/images/2011/38/2932-Image.html
14-Feb,2007,Colliding Galaxies Arp 272,"Arp 272 is a collision between two spiral galaxies, linked by their swirling arms. The galaxies are members of the Hercules Galaxy cluster and are located roughly 450 million light-years from Earth. ",https://hubblesite.org/contents/media/images/2008/16/2334-Image.html
15-Feb,1998,Galaxy I Zwicky 18,"This image captures the irregular dwarf galaxy I Zwicky 18 and a companion galaxy to its upper right. The two galaxies are interacting, triggering star formation in I Zwicky 18. ",https://hubblesite.org/contents/media/images/2004/35/1621-Image.html
16-Feb,2005,Antennae Galaxies,"The two merging spiral galaxies that comprise the Antennae galaxies began their interaction only a few hundred million years ago. Over the course of the merger, billions of stars will be formed. ",https://hubblesite.org/contents/media/images/2006/46/1995-Image.html
17-Feb,2015,Dwarf Galaxy Kiso 5639,"Hubble captured a firestorm of star birth lighting up one end of this dwarf galaxy. Called Kiso 5639, it is a member of a class of ""tadpole"" galaxies so named because of their bright heads and elongated tails.",https://hubblesite.org/contents/media/images/2016/23/3754-Image.html
18-Feb,2014,Herbig-Haro 24,"A partially obscured, newborn star near the center of this image is shooting twin jets into the surrounding gas and dust. The shocks from the collision light up patches of nebulosity collectively called Herbig-Haro 24.",https://hubblesite.org/contents/media/images/2015/42/3656-Image.html
19-Feb,2014,Monkey Head Nebula,This image reveals carved knots of gas and dust in a small portion of the Monkey Head Nebula. The nebula is a star-forming region that hosts dusky dust clouds silhouetted against glowing gas.,https://hubblesite.org/contents/media/images/2014/18/3336-Image.html
20-Feb,2014,Monkey Head Nebula,This image reveals carved knots of gas and dust in a small portion of the Monkey Head Nebula. The nebula is a star-forming region that hosts dusky dust clouds silhouetted against glowing gas.,https://hubblesite.org/contents/media/images/2014/18/3336-Image.html
21-Feb,2014,Monkey Head Nebula,This image reveals carved knots of gas and dust in a small portion of the Monkey Head Nebula. The nebula is a star-forming region that hosts dusky dust clouds silhouetted against glowing gas.,https://hubblesite.org/contents/media/images/2014/18/3336-Image.html
22-Feb,2004,Spiral Galaxy NGC 1313,This image resolves stars in the center of the barred spiral galaxy NGC 1313. The galaxy is roughly 14 million light-years away in the constellation Reticulum. ,https://hubblesite.org/contents/media/images/2007/05/2044-Image.html
23-Feb,2013,Galaxies in the GOODS-North Field,"This image captures about 15,000 galaxies stretching back through 11 billion years of cosmic history. Hubble examined this part of the sky, located near the Big Dipper and called the GOODS-North field, as part of the Great Observatories Origins Deep Survey (GOODS).",https://hubblesite.org/contents/media/images/2018/35/4219-Image.html
24-Feb,2009,Saturn and Moons,"In this image, four moons of Saturn are passing in front of the giant planet. The large, orange moon Titan casts a large shadow on the northern pole. Smaller moons Mimas, Dione and Enceladus appear as white dots. ",https://hubblesite.org/contents/media/images/2009/12/2508-Image.html
25-Feb,1995,Mars,This image captures springtime in the northern hemisphere of Mars. The northern polar ice cap has receded to its core of solid water-ice several hundred miles across. Morning clouds appear along the planet's western (left) limb.,https://hubblesite.org/contents/media/images/1995/16/280-Image.html?news=true
26-Feb,2016,Bubble Nebula,"An enormous bubble is being blown into space by a super-hot, massive star. The Bubble Nebula is roughly seven light-years across and is located 7,100 light-years away in the constellation Cassiopeia.",https://hubblesite.org/contents/media/images/2016/13/3725-Image.html
27-Feb,2002,Little Ghost Nebula,"The Little Ghost Nebula appears as a small, ghostly cloud surrounding a dying star. It is found in the constellation Ophiuchus between 2,000 and 5,000 light-years away. ",https://hubblesite.org/contents/media/images/2002/25/1251-Image.html
28-Feb,2008,Galactic Center,This infrared image of the center of our Milky Way galaxy reveals a population of massive stars and complex structures in the hot ionized gas that swirls around the galactic core.,https://hubblesite.org/contents/media/images/2009/02/2453-Image.html
29-Feb,2004,SWEEPS Star Field ,"Hubble peered into the crowded central bulge of our galaxy 26,000 light-years away and collected information for 180,000 stars as part of a survey called the Sagittarius Window Eclipsing Extrasolar Planet Search (SWEEPS).",https://hubblesite.org/contents/news-releases/2011/news-2011-16.html
1-Mar,2011,Galaxy Cluster RCS2 032727-132623,"The light from a distant galaxy, nearly 10 billion light-years away, has been warped into arcs and streaks by the gravity of galaxy cluster RCS2 032727-132623. The cluster acts as a gravitational lens, bending and amplifying light from the background galaxy. ",https://hubblesite.org/contents/media/images/2012/08/2977-Image.html
2-Mar,2006,Pluto System,"This image, taken through a red filter, captures Pluto and three of its satellites. The largest object in the image is Pluto and the second largest is Charon. Two smaller moons appear below them. ",https://hubblesite.org/contents/media/images/2006/15/1893-Image.html
3-Mar,1994,Globular Cluster NGC 6397,This image captures about 200 stars in the globular cluster NGC 6397. The density of this star cluster is so low that Hubble can see right through the cluster and resolve far more-distant background galaxies behind it.,https://hubblesite.org/contents/media/images/1994/41/198-Image.html
4-Mar,2003,Galaxy Fornax A,"The dust lanes and star clusters of this giant elliptical galaxy, known as Fornax A, give evidence that the galaxy formed from a past merger of two gas-rich galaxies. It is also one of the strongest sources of radio emission in the sky. ",https://hubblesite.org/contents/media/images/2005/11/1671-Image.html
5-Mar,1999,Galaxy NGC 1512,"The core of the barred spiral galaxy NGC 1512 is unique for its stunning 2,400-light-year-wide circle of infant star clusters, called a ""circumnuclear"" starburst ring. Starbursts are episodes of vigorous star formation.",https://hubblesite.org/contents/media/images/2001/16/1059-Image.html
6-Mar,2012,Beta Pictoris Disk,"In 1984, Beta Pictoris was the very first star discovered to be surrounded by a bright disk of light-scattering dust and debris. Planets are thought to form in such disks, and astronomers have discovered two planets orbiting Beta Pictoris.",https://hubblesite.org/contents/media/images/2015/06/3492-Image.html
7-Mar,2003,Saturn in Ultraviolet,"This false-color image of Saturn, taken in ultraviolet light, reveals details in the hazes and clouds of the planet's atmosphere that are not easy or possible to see in visible light.",https://hubblesite.org/contents/media/images/2003/23/1391-Image.html
8-Mar,2005,Einstein Ring SDSS J120540,"Einstein rings like this form when two galaxies are almost perfectly aligned, one behind the other, and the gravitational field of the closer galaxy bends the light from the more-distant galaxy into bright arcs around itself.",https://hubblesite.org/contents/media/images/2005/32/1788-Image.html
9-Mar,2011,Galaxy Cluster Abell 2261,"The giant elliptical galaxy in the center of this image is the most massive and brightest member of galaxy cluster Abell 2261. More than a million light-years wide, the galaxy is about 10 times bigger than our Milky Way galaxy.",https://hubblesite.org/contents/media/images/2012/24/3049-Image.html
10-Mar,1997,Mars,This stunning portrait of Mars was taken just before the planet made one of its closest approaches to Earth (passing about 60 million miles from us). This view was taken on the last day of spring in the planet's northern hemisphere.,https://hubblesite.org/contents/media/images/1997/09/471-Image.html
11-Mar,,Southern Crab Nebula,"An aging red giant star is shedding its outer layers to produce the Southern Crab Nebula. The ""legs"" are likely to be the places where the outflowing material slams into surrounding gas and dust.",https://hubblesite.org/contents/media/images//15/4384-Image.html
12-Mar,2005,Einstein Ring SDSS J125028.25+052349,"Einstein rings like this form when two galaxies are almost perfectly aligned, one behind the other, and the gravitational field of the closer galaxy bends the light from the more-distant galaxy into bright arcs around itself.",https://hubblesite.org/contents/media/images/2005/32/1788-Image.html
13-Mar,1997,Galaxy NGC 3310,"There are several hundred star clusters in the starburst galaxy NGC 3310. They appear in this image as the bright, blue clumps that trace the galaxy's spiral arms.",https://hubblesite.org/contents/media/images/2001/26/1094-Image.html
14-Mar,1999,Interacting Galaxies Arp 297,"Arp 297 is a pair of interacting galaxies that consists of NGC 5754, the large spiral at the top, and NGC 5752, the smaller companion at the bottom left. NGC 5754's internal structure has hardly been disturbed, but it does have some kinked arms just beyond its inner ring. ",https://hubblesite.org/contents/media/images/2008/16/2308-Image.html
15-Mar,1999,Interacting Galaxies Arp 81,Arp 81 is a pair of interacting galaxies consisting of NGC 6621 (center) and NGC 6622 (left). The encounter has pulled a long tail out of NGC 6621 that has now wrapped behind the pair.,https://hubblesite.org/contents/media/images/2008/16/2328-Image.html
16-Mar,2012,Supernova Didius,"Supernova Didius, named after a Roman emperor, is the white dot in the center of this image. The bright blob at upper left is the core of the supernova's host galaxy. The supernova is so far away, we see it as it appeared 7 billion years ago.",https://hubblesite.org/contents/media/images/2014/21/3346-Image.html
17-Mar,1999,Red Rectangle Nebula,"This image reveals details of one of the most unusual nebulas known in our Milky Way. Cataloged as HD 44179, this nebula is more commonly called the ""Red Rectangle"" because of its unique shape and color. ",https://hubblesite.org/contents/media/images/2004/11/1497-Image.html
18-Mar,1994,Pinwheel Galaxy,The Pinwheel galaxy has a pancake-like shape that we view face-on. This perspective shows off the spiral structure that gives the galaxy its nickname.,https://hubblesite.org/contents/media/images/2009/07/2477-Image.html
19-Mar,2009,Galaxy M83,"This image of spiral galaxy M83 captures thousands of star clusters, hundreds of thousands of individual stars, and ""ghosts"" of dead stars called supernova remnants.  ",https://hubblesite.org/contents/media/images/2014/04/3293-Image.html
20-Mar,1996,Colliding Galaxies NGC 6745,"This image captures the collision of two galaxies. The larger spiral galaxy, NGC 6745, boasts an intact nucleus as it interacts with the smaller, passing galaxy that is nearly out of the frame to the lower right.",https://hubblesite.org/contents/media/images/2000/34/1007-Image.html
21-Mar,1996,Colliding Galaxies NGC 6745,"This image captures the collision of two galaxies. The larger spiral galaxy, NGC 6745, boasts an intact nucleus as it interacts with the smaller, passing galaxy that is nearly out of the frame to the lower right.",https://hubblesite.org/contents/media/images/2000/34/1007-Image.html
22-Mar,2004,Saturn,This image of Saturn captures details in the hazes and clouds of the planet's atmosphere. The view is so sharp that it also reveals individual ringlets in Saturn's ring system.,https://hubblesite.org/contents/media/images/2004/18/1545-Image.html
23-Mar,2006,Dwarf Galaxy Holmberg IX,"This loose collection of stars is actually a dwarf irregular galaxy, called Holmberg IX. Of the more than 20,000 stars that can be resolved in this image, only about 10 percent are considered to be old stars.",https://hubblesite.org/contents/media/images/2008/02/2236-Image.html
24-Mar,2008,Galactic Center,This infrared image of the center of our Milky Way galaxy reveals a population of massive stars and complex structures in the hot ionized gas that swirls around the galactic core.,https://hubblesite.org/contents/media/images/2009/02/2453-Image.html
25-Mar,2000,Interstellar Bubble N44F,"This circular feature on the left side of this image is an interstellar bubble called N44F. It is being inflated by a torrent of fast-moving particles from an exceptionally hot star once buried inside this cold, dense cloud.",https://hubblesite.org/contents/media/images/2004/26/1577-Image.html
26-Mar,2010,Star RS Puppis,The bright star RS Puppis is swaddled in a cocoon of reflective dust illuminated by the glittering star. The star is 10 times more massive than our Sun and is 200 times larger.,https://hubblesite.org/contents/media/images/2013/51/3263-Image.html
27-Mar,2005,Galaxy M81 ,"The arms of the ""grand design"" spiral galaxy M81 are filled with young, bluish, hot stars. The greenish regions in the image are bright, gaseous clouds where new stars are forming. ",https://hubblesite.org/contents/media/images/2007/19/2127-Image.html
28-Mar,2000,Ghost Head Nebula,"The Ghost Head Nebula is a star-forming region in a nearby galaxy called the Large Magellanic Cloud. The two bright areas (the ""eyes of the ghost"") are very hot, glowing blobs of hydrogen and oxygen.",https://hubblesite.org/contents/media/images/2001/34/1118-Image.html
29-Mar,2006,Galaxy M82,"Galaxy M82 is remarkable for its bright blue disk, webs of shredded clouds, and fiery-looking plumes of glowing hydrogen blasting out of its central region. In M82, stars are being born 10 times faster than they are inside our Milky Way galaxy.",https://hubblesite.org/contents/media/images/2006/14/1876-Image.html
30-Mar,1997,Four Faces of Mars,Four sides of Mars are captured in these Hubble images taken over the course of a day. Mars has rotated about ninety degrees between each view. ,https://hubblesite.org/contents/media/images/1997/15/481-Image.html
31-Mar,1997,Interacting Galaxies AM 0500-620,"AM 0500-620 includes a pair of galaxies, with one spiral galaxy seen nearly face-on that is partially backlit by a background galaxy. These interacting galaxies are located 350 million light-years away in the constellation Dorado.",https://hubblesite.org/contents/media/images/2008/16/2326-Image.html
1-Apr,1995,Eagle Nebula Pillars,"Hubble's view of the ""Pillars of Creation"" in the Eagle Nebula displays three giant columns of cold gas giving birth to new stars. The pillars are bathed in the scorching ultraviolet light from a cluster of young, massive stars beyond the top of the image.",https://hubblesite.org/contents/media/images/1995/44/351-Image.html
2-Apr,2009,Interacting Galaxies Arp 274,"Arp 274 is a system of three galaxies that appear to be partially overlapping. Two of the galaxies are rapidly forming new stars, evident in the bright blue knots strung along the arms of the galaxy on the right and along the small galaxy on the left.",https://hubblesite.org/contents/media/images/2009/14/2523-Image.html
3-Apr,2017,Jupiter,"This image of Jupiter was taken when the planet was closest to Earth in 2017. The Great Red Spot appears on the left side, along with a smaller, reddish storm in the lower right dubbed ""Red Spot Jr.""",https://hubblesite.org/contents/media/images/2017/15/4012-Image.html
4-Apr,1999,Galaxy Pair NGC 3314,"This image shows a pair of galaxies called NGC 3314. Through a chance alignment, a face-on spiral galaxy lies precisely in front of another, larger spiral. This provides a view of dark material within the front galaxy, seen because it is silhouetted against the galaxy behind it.",https://hubblesite.org/contents/media/images/2000/14/958-Image.html
5-Apr,2008,Galactic Center,This infrared image of the center of our Milky Way galaxy reveals a population of massive stars and complex structures in the hot ionized gas that swirls around the galactic core.,https://hubblesite.org/contents/media/images/2009/02/2453-Image.html
6-Apr,2001,Galaxy ESO 510-G13,"Usually, when a spiral galaxy appears edge-on, its dust and spiral arms appear flat. The warping of the disk in ESO 510-G13 suggests this galaxy has recently undergone a collision with a nearby galaxy and is in the process of swallowing it.",https://hubblesite.org/contents/media/images/2001/23/1089-Image.html
7-Apr,2013,30 Doradus Nebula,"This is a close-up view of a star-birth region called the 30 Doradus Nebula. The giant stellar factory lies 170,000 light-years away inside a nearby galaxy known as the Large Magellanic Cloud. The image reveals glowing clouds of hydrogen and dark filamentary structures of dust.",https://hubblesite.org/contents/media/images/2014/02/3286-Image.html
8-Apr,1999,Galaxy NGC 4650A,"About 130 million light-years away, NGC 4650A is one of only 100 known polar-ring galaxies, which feature a ring of stars encircling a disk. Polar rings might form when two galaxies collide, with one galaxy becoming the inner disk and the other forming the ring.",https://hubblesite.org/contents/media/images/1999/16/800-Image.html
9-Apr,2007,Jupiter and Ganymede,"This image shows Jupiter and its large moon Ganymede as the moon peeks out from behind the planet. Composed of rock and ice, Ganymede is the largest moon in our solar system. ",https://hubblesite.org/contents/media/images/2008/42/2440-Image.html
10-Apr,1999,Circinus Galaxy,"Resembling a swirling witch's cauldron of glowing vapors, the black-hole-powered core of the Circinus galaxy appears in this image. Much of the gas in the spiral galaxy's disk is concentrated in two rings.",https://hubblesite.org/contents/media/images/2000/37/1010-Image.html
11-Apr,2008,Galactic Center,This infrared image of the center of our Milky Way galaxy reveals a population of massive stars and complex structures in the hot ionized gas that swirls around the galactic core.,https://hubblesite.org/contents/media/images/2009/02/2453-Image.html
12-Apr,2010,Hanny's Voorwerp,"This image shows a ghostly green blob of gas that appears to float near a normal-looking spiral galaxy. The bizarre object, dubbed Hanny's Voorwerp, is the visible part of a 300,000-light-year-long streamer of gas stretching around the galaxy, called IC 2497. ",https://hubblesite.org/contents/media/images/2011/01/2803-Image.html
13-Apr,2011,Galaxy Cluster Abell 2261,"The giant elliptical galaxy in the center of this image is the most massive and brightest member of galaxy cluster Abell 2261. More than a million light-years wide, the galaxy is about 10 times bigger than our Milky Way galaxy.",https://hubblesite.org/contents/media/images/2012/24/3049-Image.html
14-Apr,2006,Galaxy ESO 99-4,"ESO 99-4 is a galaxy with a highly peculiar shape. It is probably the remnant of an earlier merger process that has deformed it, leaving the main body largely obscured by dark bands of dust.",https://hubblesite.org/contents/media/images/2008/16/2322-Image.html
15-Apr,2015,Veil Nebula,"In this small piece of the Veil Nebula, wisps of gas are part of what remains of a star that was once 20 times more massive than our Sun. A fast-moving blast wave from the star's explosion is plowing into a wall of interstellar gas, causing it to glow.",https://hubblesite.org/contents/media/images/2015/29/3620-Image.html
16-Apr,2015,Veil Nebula,"In this small piece of the Veil Nebula, wisps of gas are part of what remains of a star that was once 20 times more massive than our Sun. A fast-moving blast wave from the star's explosion is plowing into a wall of interstellar gas, causing it to glow.",https://hubblesite.org/contents/media/images/2015/29/3620-Image.html?itemsPerPage=100&page=2&filterUUID=8a87f02e-e18b-4126-8133-2576f4fdc5e2&news=true
17-Apr,2011,Galaxy Cluster Abell 2261,"The giant elliptical galaxy in the center of this image is the most massive and brightest member of galaxy cluster Abell 2261. More than a million light-years wide, the galaxy is about 10 times bigger than our Milky Way galaxy.",https://hubblesite.org/contents/media/images/2012/24/3049-Image.html
18-Apr,1997,Globular Cluster M79,"The globular star cluster M79 is located 41,000 light-years from Earth. It contains about 150,000 stars packed into an area measuring only 118 light-years across. Its stars are some of the oldest in our galaxy.",https://hubblesite.org/contents/media/images/2017/37/4096-Image.html
19-Apr,2010,Asteroid P/2010 A2,"Hubble imaged a tail flowing from this peculiar asteroid, dubbed P/2010 A2. Scientists suspect the debris was produced by a collision with another asteroid.",https://hubblesite.org/contents/media/images/2010/34/2780-Image.html
